Square_Feet,Bedrooms,Bathrooms,House_Age,Garage_Size,Distance_to_City_Center,Price
4174,3,1,23,3,4.097671401700229,1272691.9857948993
4507,5,1,41,3,15.937907392960101,1348119.2778211196
1860,5,1,29,3,14.954434709436237,558058.6958716913
2294,1,4,13,3,8.302745731958563,713005.7628041243
2130,6,3,5,1,1.4786748652253578,707249.9754043239
2095,1,2,2,3,16.940949226642203,624084.1523200733
4772,2,4,15,1,1.2169416856273991,1469235.174943118
4092,1,4,6,3,14.370295812951968,1234694.1125611442
2638,3,4,13,2,19.434885084795084,789274.3447456148
3169,5,1,8,3,9.315565234815866,1002196.3042955524
1466,2,3,14,3,5.464494694923102,474930.5159152307
2238,1,4,20,1,14.392549190824253,654395.3524275272
1330,6,2,34,3,16.525434698296117,399439.6959051117
2482,3,3,1,2,11.3821760054791,773827.4719835627
3135,3,2,26,1,19.37367022986678,911226.9893103996
4444,1,3,1,1,1.9817057115012608,1367465.8828654962
4171,5,2,34,3,10.591116367786034,1265482.650896642
3919,1,1,17,1,14.650624999128452,1144221.1250026147
4735,2,4,13,1,17.3901689518344,1398144.4931444968
1130,1,2,19,1,4.405856626248011,344017.430121256
2685,3,3,17,1,16.200066153509947,785742.8015394702
4380,1,4,9,1,11.50143443865236,1314467.696684043
1769,5,4,24,1,8.534519957809302,566449.440126572
3391,6,3,1,2,3.5025855430027777,1087886.2433709917
2515,4,2,24,3,17.440619419269336,748302.141742192
4485,1,1,32,2,3.988190955414592,1342114.4271337562
3853,5,1,35,1,6.885969324972885,1154646.0920250814
3433,5,2,30,1,6.510865107286301,1042349.4046781411
2215,6,4,13,3,17.55686664962623,705344.4000511214
1955,3,4,0,2,13.781356889969063,616945.9293300929
3324,5,4,45,3,16.136946546636075,999994.1603600918
2184,5,4,15,2,5.7588900770574805,711671.3297688275
1459,5,2,45,1,12.87260789253298,415174.17632240104
4385,5,4,2,3,11.863173679731226,1375881.4789608063
1021,2,3,34,3,16.82377715897715,285444.66852306854
3300,2,4,40,1,18.21565414914395,938286.0375525681
1747,3,1,5,3,1.2309786580703492,569333.0640257889
3904,1,4,24,2,13.80637846211706,1145749.8646136487
4632,5,2,12,2,1.9848801832748513,1440610.3594501754
1474,6,1,33,2,11.428314636469763,450234.0560905907
2082,1,2,7,2,6.465021851829886,633179.9344445104
3558,6,2,20,1,6.828755390920683,1102021.733827238
4753,1,1,33,3,7.706211565594775,1407922.3653032156
3047,3,2,3,2,12.804556531942593,935114.3304041722
4547,5,2,24,1,7.346949347706615,1377869.1519568802
3747,5,4,14,3,14.921281961215328,1159609.154116354
1975,4,3,3,3,8.686020325903524,641462.9390222895
2806,6,2,44,1,2.298710805889214,877196.8675823323
1189,1,2,11,1,15.891437007198038,322389.6889784059
4005,1,2,31,2,6.429408167261414,1179792.7754982158
3734,2,4,31,3,9.22257071238599,1116223.287862842
4005,4,3,27,3,14.023433781216129,1202360.6986563515
1562,2,1,12,1,7.316666985825528,470777.99904252344
2899,2,4,30,3,2.0751274667875967,901700.6175996372
4638,2,4,13,2,8.104499893243458,1413947.5003202697
2267,6,3,19,3,18.944523071191764,708741.4307864247
3879,6,3,17,1,13.192953548672605,1183527.1393539822
2528,3,4,28,1,13.758103824676931,745464.6885259692
4202,3,1,5,2,13.013360919115158,1274975.9172426546
4556,2,4,31,2,4.780850640229299,1385152.4480793122
4890,4,3,28,3,8.948343417943322,1489733.96974617
1646,1,1,42,3,15.267856168903046,438117.4314932909
